id,isResult,datetime,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,forecast_w,forecast_d,forecast_l
16576,True,2022-01-01 12:30:00,83,Arsenal,ARS,88,Manchester City,MCI,1,2,0.836949,1.94623,0.0951,0.2126,0.6923
16585,True,2022-01-01 15:00:00,90,Watford,WAT,82,Tottenham,TOT,0,1,0.303514,1.93752,0.0346,0.1376,0.8278
16579,True,2022-01-01 17:30:00,78,Crystal Palace,CRY,81,West Ham,WHU,2,3,2.69204,2.23146,0.4861,0.2291,0.2848
16577,True,2022-01-02 14:00:00,244,Brentford,BRE,71,Aston Villa,AVL,2,1,0.501329,1.13821,0.1502,0.318,0.5318
16580,True,2022-01-02 14:00:00,72,Everton,EVE,220,Brighton,BRI,2,3,1.82698,1.48397,0.4435,0.2906,0.2659
16581,True,2022-01-02 14:00:00,245,Leeds,LED,92,Burnley,BUR,3,1,2.04186,0.960493,0.642,0.2279,0.1301
16578,True,2022-01-02 16:30:00,80,Chelsea,CHE,87,Liverpool,LIV,2,2,1.389,1.78897,0.26,0.2659,0.4741
16583,True,2022-01-03 17:30:00,89,Manchester United,MUN,229,Wolverhampton Wanderers,WOL,0,1,0.768752,0.840925,0.2979,0.3534,0.3487
16551,True,2022-01-11 21:45:00,74,Southampton,SOU,244,Brentford,BRE,4,1,1.59306,0.621466,0.6476,0.2451,0.1073
16554,True,2022-01-12 21:45:00,81,West Ham,WHU,79,Norwich,NOR,2,0,2.89217,0.343347,0.9379,0.0507,0.0114
