Understat_ID, FPL_ID, Understat_Name, FPL_Name
-1,26,,Gabriel Teodoro Martinelli Silva
-1,27,,William Saliba
-1,70,,Mathew Ryan
-1,478,,Willian Borges Da Silva
-1,494,,Gabriel Magalhães
-1,501,,Daniel Ceballos Fernández
-1,526,,Mohamed Naser El Sayed Elneny
-1,527,,Matt Macey
-1,645,,Martin Ødegaard
-1,689,,Miguel Azeez
-1,12,,Emiliano Martínez
-1,28,,Tom Heaton
-1,29,,Ahmed El Mohamady
-1,30,,Henri Lansbury
-1,32,,Jed Steer
-1,34,,José Ignacio Peleteiro Romallo
-1,35,,Ørjan Nyland
-1,36,,Bjorn Engels
-1,40,,Mahmoud Ahmed Ibrahim Hassan
-1,43,,James Bree
-1,47,,Frédéric Guilbert
-1,48,,Wesley Moraes
-1,49,,Mbwana Samatta
-1,51,,Indiana Vassilev
-1,52,,Douglas Luiz Soares de Paulo
-1,671,,Kaine Hayden
-1,53,,Glenn Murray
-1,58,,Shane Duffy
-1,60,,Aaron Mooy
-1,63,,Martín Montoya
-1,64,,Florin Andone
-1,65,,Solomon March
-1,73,,Matthew Clarke
-1,75,,Bernardo Fernandes da Silva Junior
-1,503,,Christian Walton
-1,528,,Jason Steele
-1,631,,Teddy Jenks
-1,632,,Max Sanders
-1,633,,Jensen Weir
-1,662,,Thomas McGill
-1,663,,Michal Karbownik
-1,664,,Moisés Caicedo
-1,94,,Ben Gibson
-1,520,,Bobby Thomas
-1,536,,Anthony Driscoll-Glennon
-1,551,,Mace Goodridge
-1,591,,Max Thompson
-1,612,,Anthony Mancini
-1,658,,Richard Nartey
-1,105,,Jorge Luiz Frello Filho
-1,111,,Emerson Palmieri dos Santos
-1,112,,Kepa Arrizabalaga
-1,113,,N'Golo Kanté
-1,232,,Benjamin Chilwell
-1,490,,Thiago Thiago
-1,593,,Karlo Ziger
-1,605,,Faustino Anjorin
-1,698,,Valentino Livramento
-1,126,,Wayne Hennessey
-1,136,,Connor Wickham
-1,143,,Max Meyer
-1,145,,Nathan Ferguson
-1,147,,Brandon Pierrick
-1,522,,Sam Woods
-1,534,,Ryan Inniss
-1,578,,Stephen Henderson
-1,675,,Reece Hannam
-1,688,,Jesurun Rak-Sakyi
-1,151,,Jonas Lössl
-1,154,,Bernard Anício Caldeira Duarte
-1,158,,André Filipe Tavares Gomes
-1,166,,Richarlison de Andrade
-1,170,,Jarrad Branthwaite
-1,502,,Allan Marques Loureiro
-1,596,,Ellis Simms
-1,644,,Tyler Onyango
-1,679,,Kyle John
-1,681,,Ryan Astley
-1,682,,Harry Tyrer
-1,690,,Reece Welch
-1,691,,Isaac Price
-1,171,,Fabricio Agosto Ramírez
-1,172,,Kevin McDonald
-1,174,,Stefan Johansen
-1,177,,Anthony Knockaert
-1,179,,Cyrus Christie
-1,181,,Bobby Decordova-Reid
-1,183,,Marcus Bettinelli
-1,184,,Aleksandar Mitrović
-1,185,,Alfie Mawson
-1,187,,Ivan Ricardo Neves Abreu Cavaleiro
-1,189,,Jean Michaël Seri
-1,191,,André-Frank Zambo Anguissa
