id,isResult,datetime,h_id,h_title,h_short_title,a_id,a_title,a_short_title,goals_h,goals_a,xG_h,xG_a,forecast_w,forecast_d,forecast_l,match_id,xCS_h,xCS_a
2709,True,26/11/2016 19:00,84,Swansea,SWA,78,Crystal Palace,CRY,5,4,3.3955,2.28156,0.6583,0.1977,0.144,2709,0.038645477,0.001881534
2710,True,26/11/2016 19:00,87,Liverpool,LIV,77,Sunderland,SUN,2,0,2.02461,0.291073,0.8512,0.1263,0.0225,2710,0.738695739,0.064264707
2711,True,26/11/2016 19:00,75,Leicester,LEI,93,Middlesbrough,MID,2,2,2.0478,0.425252,0.8516,0.1205,0.0279,2711,0.641502936,0.03300918
2712,True,26/11/2016 21:30,80,Chelsea,CHE,82,Tottenham,TOT,2,1,1.24948,0.422568,0.6125,0.2805,0.107,2712,0.64932314,0.225838313
2713,True,27/11/2016 16:00,90,Watford,WAT,85,Stoke,STO,0,1,0.541915,0.704736,0.2489,0.3946,0.3565,2713,0.471593744,0.566926674
2714,True,27/11/2016 18:15,83,Arsenal,ARS,73,Bournemouth,BOU,3,1,2.8697,2.0491,0.5677,0.2211,0.2112,2714,0.043790918,0.021574358
2715,True,27/11/2016 20:30,74,Southampton,SOU,72,Everton,EVE,1,0,2.80562,0.615174,0.8856,0.0855,0.0289,2715,0.530321068,0.015082838
2716,True,27/11/2016 20:30,89,Manchester United,MUN,81,West Ham,WHU,1,1,1.44452,0.749388,0.5395,0.2755,0.185,2716,0.409711776,0.205355174
3108,True,03/12/2016 15:00,77,Sunderland,SUN,75,Leicester,LEI,2,1,1.4282,1.13791,0.4384,0.2667,0.2949,3108,0.289384897,0.221238594
3105,True,03/12/2016 16:30,88,Manchester City,MCI,80,Chelsea,CHE,1,3,2.24061,1.2848,0.6302,0.2122,0.1576,3105,0.214711181,0.047441663
3106,True,03/12/2016 19:00,78,Crystal Palace,CRY,74,Southampton,SOU,3,0,2.20073,0.764357,0.7856,0.1483,0.0661,3106,0.45242815,0.023097752
3107,True,03/12/2016 19:00,85,Stoke,STO,92,Burnley,BUR,2,0,1.12929,0.773995,0.4605,0.3143,0.2252,3107,0.444832991,0.2518635
3109,True,03/12/2016 19:00,82,Tottenham,TOT,84,Swansea,SWA,5,0,3.9767,0.0342109,0.9992,0.0008,0.0,3109,0.965789091,0.000325797
3110,True,03/12/2016 19:00,76,West Bromwich Albion,WBA,90,Watford,WAT,3,1,1.17737,1.476,0.2484,0.313,0.4386,3110,0.10687754,0.241514513
3111,True,03/12/2016 21:30,81,West Ham,WHU,83,Arsenal,ARS,1,5,0.882486,2.96923,0.0477,0.1115,0.8408,3111,0.022562259,0.360125984
