Understat_ID,FPL_ID,Understat_Name,FPL_Name,season
852,513,Freddie Woodman,Freddie Woodman,2021-22
853,301,Paul Dummett,Paul Dummett,2021-22
856,156,Jack Butland,Jack Butland,2021-22
875,293,Ciaran Clark,Ciaran Clark,2021-22
876,163,Fabian Delph,Fabian Delph,2021-22
887,100,Erik Pieters,Erik Pieters,2021-22
902,321,Sam Byram,Sam Byram,2021-22
934,283,Axel Tuanzebe,Axel Tuanzebe,2021-22
951,632,Phil Jones,Phil Jones,2021-22
971,366,Harry Winks,Harry Winks,2021-22
982,314,Tim Krul,Tim Krul,2021-22
987,238,Joseph Gomez,Joseph Gomez,2021-22
1006,275,Luke Shaw,Luke Shaw,2021-22
1025,389,Daniel Bachmann,Daniel Bachmann,2021-22
1053,49,Keinan Davis,Keinan Davis,2021-22
1084,502,Jonjoe Kenny,Jonjoe Kenny,2021-22
1142,677,Samir,Samir Caetano de Souza Santos,2021-22
1257,231,Alisson,Alisson Ramses Becker,2021-22
1304,564,Moise Kean,Moise Kean,2021-22
1379,171,Allan,Allan Marques Loureiro,2021-22
1441,390,Adam Masina,Adam Masina,2021-22
1545,303,Emil Krafth,Emil Krafth,2021-22
1663,108,Johann Berg Gudmundsson,Johann Berg Gudmundsson,2021-22
1675,395,Ashley Fletcher,Ashley Fletcher,2021-22
1707,456,Ben Gibson,Ben Gibson,2021-22
1711,552,Adam Forshaw,Adam Forshaw,2021-22
1725,384,Christian Kabasele,Christian Kabasele,2021-22
1735,338,Jack Stephens,Jack Stephens,2021-22
1739,286,Eric Bailly,Eric Bailly,2021-22
1747,103,Kevin Long,Kevin Long,2021-22
1750,13,Ainsley Maitland-Niles,Ainsley Maitland-Niles,2021-22
1785,203,Nampalys Mendy,Nampalys Mendy,2021-22
1823,168,Lucas Digne,Lucas Digne,2021-22
1828,279,Alex Telles,Alex Nicolao Telles,2021-22
2190,146,Vicente Guaita,Vicente Guaita,2021-22
2266,592,Saúl Ñíguez,Saúl Ñíguez,2021-22
2310,489,Alphonse Areola,Alphonse Areola,2021-22
2383,172,André Gomes,André Filipe Tavares Gomes,2021-22
2958,264,Oleksandr Zinchenko,Oleksandr Zinchenko,2021-22
3203,424,Issa Diop,Issa Diop,2021-22
3387,618,Nicolas N&#039;Koulou,Nicolas Nkoulou,2021-22
3389,253,Benjamin Mendy,Benjamin Mendy,2021-22
3428,192,Hélder Costa,Hélder Wander Sousa de Azevedo e Costa,2021-22
3468,673,Jonas Lössl,Jonas Lössl,2021-22
3696,34,Morgan Sanson,Morgan Sanson,2021-22
4401,30,Emiliano Martinez,Emiliano Martínez,2021-22
4475,28,Jed Steer,Jed Steer,2021-22
4764,504,Jean-Philippe Gbamin,Jean-Philippe Gbamin,2021-22
5043,382,Kiko Femenía,Francisco Femenía Far,2021-22
5061,129,Kepa,Kepa Arrizabalaga,2021-22
-1,728,Álvaro Fernández,Álvaro Fernández,2021-22
5544,448,Angus Gunn,Angus Gunn,2021-22
5545,216,Wilfred Ndidi,Wilfred Ndidi,2021-22
5549,152,Luka Milivojevic,Luka Milivojevic,2021-22
5552,112,Nick Pope,Nick Pope,2021-22
5584,288,Aaron Wan-Bissaka,Aaron Wan-Bissaka,2021-22
5603,559,Aaron Ramsdale,Aaron Ramsdale,2021-22
5648,501,Malang Sarr,Malang Sarr,2021-22
5681,372,Giovani Lo Celso,Giovani Lo Celso,2021-22
5708,432,Fernando Marçal,Fernando Marçal,2021-22
6027,157,Jairo Riedewald,Jairo Riedewald,2021-22
6044,113,Charlie Taylor,Charlie Taylor,2021-22
6049,60,Solly March,Solomon March,2021-22
6051,102,Dale Stephens,Dale Stephens,2021-22
6054,257,Ederson,Ederson Santana de Moraes,2021-22
6080,284,Victor Lindelöf,Victor Lindelöf,2021-22
6104,386,Will Hughes,Will Hughes,2021-22
6108,702,Rodrigo Bentancur,Rodrigo Bentancur,2021-22
6163,437,Nélson Semedo,Nélson Cabral Semedo,2021-22
6252,567,Lyanco,Lyanco Evangelista Silveira Neves Vojnovic,2021-22
6273,194,Robin Koch,Robin Koch,2021-22
6310,458,Boubakary Soumare,Boubakary Soumaré,2021-22
6314,488,Joachim Andersen,Joachim Andersen,2021-22
6326,243,Ibrahima Konaté,Ibrahima Konaté,2021-22
6377,374,Joe Rodon,Joe Rodon,2021-22
6418,214,Hamza Choudhury,Hamza Choudhury,2021-22
6451,161,Nathan Ferguson,Nathan Ferguson,2021-22
6477,622,Cenk Tosun,Cenk Tosun,2021-22
6485,463,Júnior Firpo,Héctor Junior Firpo Adames,2021-22
6492,531,Reiss Nelson,Reiss Nelson,2021-22
6500,460,Romain Perraud,Romain Perraud,2021-22
6521,175,Yerry Mina,Yerry Mina,2021-22
6532,295,Martin Dubravka,Martin Dubravka,2021-22
6538,467,Oghenekaro Etebo,Oghenekaro Peter Etebo,2021-22
6542,595,Jürgen Locadia,Jürgen Locadia,2021-22
6736,349,Ibrahima Diallo,Ibrahima Diallo,2021-22
6756,118,Dwight McNeil,Dwight McNeil,2021-22
6837,368,Ryan Sessegnon,Ryan Sessegnon,2021-22
6841,391,Ken Sema,Ken Sema,2021-22
6850,428,Willy Boly,Willy Boly,2021-22
6857,440,Morgan Gibbs-White,Morgan Gibbs-White,2021-22
6880,143,Edouard Mendy,Edouard Mendy,2021-22
6891,415,Ryan Fredericks,Ryan Fredericks,2021-22
6923,351,Mohammed Salisu,Mohammed Salisu,2021-22
6947,698,Samuel Kalu,Samuel Kalu,2021-22
6962,691,Robin Olsen,Robin Olsen,2021-22
6996,387,William Troost-Ekong,William Troost-Ekong,2021-22
7081,396,Francisco Sierralta,Francisco Sierralta,2021-22
7166,86,Mathias Jensen,Mathias Jensen,2021-22
7198,373,Oliver Skipp,Oliver Skipp,2021-22
7235,54,Jason Steele,Jason Steele,2021-22
7278,403,Imran Louza,Imrân Louza,2021-22
7280,546,Yan Valery,Yan Valery,2021-22
7281,510,Diogo Dalot,José Diogo Dalot Teixeira,2021-22
7298,67,Ben White,Ben White,2021-22
7338,487,Bryan Gil Salvatierra,Bryan Gil Salvatierra,2021-22
7376,580,Ozan Kabak,Ozan Kabak,2021-22
7546,506,Harvey Elliott,Harvey Elliott,2021-22
7589,220,Wesley Fofana,Wesley Fofana,2021-22
7688,326,Max Aarons,Max Aarons,2021-22
7689,179,Ben Godfrey,Ben Godfrey,2021-22
7691,311,Jamal Lewis,Jamal Lewis,2021-22
7695,325,Todd Cantwell,Todd Cantwell,2021-22
7701,350,Moussa Djenepo,Moussa Djenepo,2021-22
7722,37,Trézéguet,Mahmoud Ahmed Ibrahim Hassan,2021-22
7724,47,Wesley,Wesley Moraes,2021-22
7753,218,James Justin,James Justin,2021-22
7817,260,Zack Steffen,Zack Steffen,2021-22
7904,242,Caoimhin Kelleher,Caoimhin Kelleher,2021-22
7931,590,Takehiro Tomiyasu,Takehiro Tomiyasu,2021-22
7988,145,Billy Gilmour,Billy Gilmour,2021-22
7990,324,Christoph Zimmermann,Christoph Zimmermann,2021-22
7991,72,Aaron Connolly,Aaron Connolly,2021-22
8017,589,Alex Kral,Alex Kral,2021-22
8020,73,Steven Alzate,Steven Alzate,2021-22
8040,41,Marvelous Nakamba,Marvelous Nakamba,2021-22
8075,290,Brandon Williams,Brandon Williams,2021-22
8179,547,Luke Cundle,Luke Cundle,2021-22
